Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      60 |          60 |       00:00:38 |       94.73% |       94.24% |       0.1757 |       0.1937 |          0.0100 |
|      61 |          61 |       00:00:39 |       94.69% |       94.48% |       0.1745 |       0.1896 |          0.0100 |
|      62 |          62 |       00:00:39 |       94.82% |       94.49% |       0.1726 |       0.1877 |          0.0100 |
|      63 |          63 |       00:00:40 |       94.80% |       94.58% |       0.1718 |       0.1856 |          0.0100 |
|      64 |          64 |       00:00:41 |       95.01% |       94.63% |       0.1670 |       0.1835 |          0.0100 |
|      65 |          65 |       00:00:41 |       95.10% |       94.67% |       0.1629 |       0.1819 |          0.0100 |
|      66 |          66 |       00:00:42 |       95.19% |       94.76% |       0.1603 |       0.1806 |          0.0100 |
|      67 |          67 |       00:00:42 |       95.26% |       94.75% |       0.1576 |       0.1802 |          0.0100 |
|      68 |          68 |       00:00:43 |       95.34% |       94.70% |       0.1557 |       0.1786 |          0.0100 |
|      69 |          69 |       00:00:44 |       95.35% |       94.66% |       0.1547 |       0.1775 |          0.0100 |
|      70 |          70 |       00:00:44 |       95.47% |       94.85% |       0.1525 |       0.1773 |          0.0100 |
|      71 |          71 |       00:00:45 |       95.49% |       94.98% |       0.1508 |       0.1783 |          0.0100 |
|      72 |          72 |       00:00:45 |       95.54% |       94.97% |       0.1504 |       0.1786 |          0.0100 |
|      73 |          73 |       00:00:46 |       95.51% |       94.98% |       0.1500 |       0.1772 |          0.0100 |
|      74 |          74 |       00:00:47 |       95.60% |       94.79% |       0.1485 |       0.1785 |          0.0100 |
|      75 |          75 |       00:00:47 |       95.58% |       94.88% |       0.1470 |       0.1764 |          0.0100 |
|      76 |          76 |       00:00:48 |       95.57% |       94.92% |       0.1469 |       0.1750 |          0.0100 |
|      77 |          77 |       00:00:48 |       95.70% |       95.20% |       0.1447 |       0.1706 |          0.0100 |
|      78 |          78 |       00:00:49 |       95.77% |       95.15% |       0.1433 |       0.1705 |          0.0100 |
|      79 |          79 |       00:00:50 |       95.74% |       95.18% |       0.1423 |       0.1702 |          0.0100 |
|      80 |          80 |       00:00:50 |       95.76% |       95.27% |       0.1415 |       0.1694 |          0.0100 |
|      81 |          81 |       00:00:51 |       95.81% |       95.28% |       0.1406 |       0.1668 |          0.0100 |
|      82 |          82 |       00:00:51 |       95.80% |       95.21% |       0.1409 |       0.1681 |          0.0100 |
|      83 |          83 |       00:00:52 |       95.78% |       95.19% |       0.1408 |       0.1670 |          0.0100 |
|      84 |          84 |       00:00:53 |       95.83% |       95.28% |       0.1405 |       0.1662 |          0.0100 |
|      85 |          85 |       00:00:53 |       95.91% |       95.26% |       0.1389 |       0.1660 |          0.0100 |
|      86 |          86 |       00:00:54 |       95.97% |       95.18% |       0.1366 |       0.1686 |          0.0100 |
|      87 |          87 |       00:00:54 |       96.06% |       95.05% |       0.1359 |       0.1684 |          0.0100 |
|      88 |          88 |       00:00:55 |       95.99% |       95.15% |       0.1361 |       0.1670 |          0.0100 |
|      89 |          89 |       00:00:56 |       95.98% |       95.33% |       0.1353 |       0.1648 |          0.0100 |
|      90 |          90 |       00:00:56 |       96.03% |       95.10% |       0.1342 |       0.1669 |          0.0100 |
|      91 |          91 |       00:00:57 |       96.17% |       95.16% |       0.1309 |       0.1653 |          0.0100 |
|      92 |          92 |       00:00:57 |       96.26% |       95.36% |       0.1289 |       0.1657 |          0.0100 |
|      93 |          93 |       00:00:58 |       96.22% |       95.43% |       0.1301 |       0.1649 |          0.0100 |
|      94 |          94 |       00:00:59 |       96.11% |       95.36% |       0.1312 |       0.1650 |          0.0100 |
|      95 |          95 |       00:00:59 |       96.12% |       95.28% |       0.1313 |       0.1672 |          0.0100 |
|      96 |          96 |       00:01:00 |       96.04% |       95.27% |       0.1324 |       0.1667 |          0.0100 |
|      97 |          97 |       00:01:00 |       96.08% |       95.12% |       0.1316 |       0.1666 |          0.0100 |
|      98 |          98 |       00:01:01 |       96.06% |       95.27% |       0.1316 |       0.1632 |          0.0100 |
|      99 |          99 |       00:01:02 |       96.08% |       95.29% |       0.1314 |       0.1619 |          0.0100 |
